County,total_population,year,median_household_income,total_housing_units,total_seasonal_units,median_home_value,pct_seasonal,FIPS,Affordability_Index
Adams,20741,2013,44897,17358,7465,135600,43.01,55001,3.020246341626389
Ashland,16068,2013,38550,9625,2313,107400,24.03,55003,2.7859922178988326
Barron,45826,2013,44054,23598,2952,134900,12.51,55005,3.06215099650429
Bayfield,15071,2013,44944,13037,5273,158600,40.45,55007,3.5288358846564614
Brown,250597,2013,53119,105151,531,158700,0.5,55009,2.9876315442685293
Buffalo,13466,2013,47384,6689,495,140900,7.4,55011,2.9735775789295964
Burnett,15449,2013,39564,15176,7102,147600,46.8,55013,3.7306642402183803
Calumet,49288,2013,65130,19744,319,164300,1.62,55015,2.5226470136649777
Chippewa,62676,2013,50551,27237,1457,147700,5.35,55017,2.9218017447726057
Clark,34630,2013,43276,15035,1047,111700,6.96,55019,2.581107311211757
Columbia,56647,2013,57922,26102,1543,175000,5.91,55021,3.0213045129657123
Crawford,16578,2013,42235,8788,1456,121100,16.57,55023,2.867290162187759
Dane,496762,2013,61721,217104,1302,228800,0.6,55025,3.7070040990910713
Dodge,88598,2013,53075,37010,1131,154000,3.06,55027,2.901554404145078
Door,27826,2013,50438,23945,8468,192200,35.36,55029,3.8106189777548676
Douglas,43994,2013,45418,22772,2697,130600,11.84,55031,2.8755119115769077
Dunn,43871,2013,48893,17937,522,156200,2.91,55033,3.1947313521362974
Eau Claire,99788,2013,48090,42278,640,150000,1.51,55035,3.119151590767311
Florence,4477,2013,47960,4694,2665,131100,56.77,55037,2.7335279399499584
Fond du Lac,101666,2013,53820,43996,706,145800,1.6,55039,2.709030100334448
Forest,9255,2013,39963,8990,4578,122400,50.92,55041,3.0628331206365886
Grant,51080,2013,46963,21618,951,124800,4.4,55043,2.6574111534612355
Green,36901,2013,55584,15856,275,158300,1.73,55045,2.847941853770869
Green Lake,19042,2013,46994,10611,1878,140500,17.7,55047,2.9897433714942334
Iowa,23709,2013,55659,10693,432,160500,4.04,55049,2.883630679674446
Iron,5937,2013,39051,5954,2700,108300,45.35,55051,2.773296458477376
Jackson,20506,2013,44149,9691,976,124000,10.07,55053,2.8086706380665474
Jefferson,83985,2013,53454,35134,1195,176900,3.4,55055,3.3093875107569124
Juneau,26673,2013,45297,14664,3023,116000,20.62,55057,2.560875996202839
Kenosha,166874,2013,54930,69311,1830,169600,2.64,55059,3.0875659930821047
Kewaunee,20578,2013,53588,9294,563,149000,6.06,55061,2.780473240277674
La Crosse,115420,2013,51339,48542,275,154700,0.57,55063,3.0133037262120417
Lafayette,16841,2013,49107,7207,134,121800,1.86,55065,2.480298124503635
Langlade,19838,2013,42389,12336,2900,108000,23.51,55067,2.5478308051617167
Lincoln,28650,2013,49021,16743,3319,129100,19.82,55069,2.6335652067481283
Manitowoc,81098,2013,48881,37114,622,125200,1.68,55071,2.5613223952046806
Marathon,134497,2013,53363,57909,1003,142300,1.73,55073,2.666641680565186
Marinette,41632,2013,40490,30296,9939,108200,32.81,55075,2.6722647567300566
Marquette,15308,2013,46077,9864,2810,142000,28.49,55077,3.0817978601037392
Menominee,4292,2013,33333,2324,1045,88500,44.97,55078,2.655026550265503
Milwaukee,950527,2013,43193,417415,1128,158400,0.27,55079,3.667260898756743
Monroe,44953,2013,49774,19267,577,135300,2.99,55081,2.7182866556836904
Oconto,37531,2013,51615,23550,6310,147700,26.79,55083,2.8615712486680227
Oneida,35868,2013,45759,30142,12362,165200,41.01,55085,3.6102187547804805
Outagamie,178013,2013,58318,73594,435,155700,0.59,55087,2.6698446448780824
Ozaukee,86708,2013,75457,36341,401,250200,1.1,55089,3.3157957512225504
Pepin,7417,2013,47701,3583,269,134800,7.51,55091,2.825936563174776
Pierce,40870,2013,59226,16160,376,191300,2.33,55093,3.2300003376895283
Polk,43905,2013,48538,24196,4378,159100,18.09,55095,3.277844163335943
Portage,70136,2013,50996,30108,667,145600,2.22,55097,2.8551258922268414
Price,14025,2013,42644,10969,3510,114100,32.0,55099,2.675640183847669
Racine,195045,2013,54090,82107,1324,170100,1.61,55101,3.1447587354409317
Richland,17911,2013,45271,8873,871,124000,9.82,55103,2.7390603255947514
Rock,160345,2013,49435,68283,966,133000,1.41,55105,2.690401537372307
Rusk,14571,2013,38658,8888,1949,106800,21.93,55107,2.762688188731957
St. Croix,84912,2013,68426,34062,383,206900,1.12,55109,3.023704439832812
Sauk,62353,2013,52140,29676,2540,168800,8.56,55111,3.2374376678174146
Sawyer,16542,2013,39904,15945,7478,162500,46.9,55113,4.072273456295108
Shawano,41776,2013,46559,20707,2014,129900,9.73,55115,2.790008376468567
Sheboygan,115235,2013,52920,50652,1233,152300,2.43,55117,2.877928949357521
Taylor,20633,2013,44869,10534,1283,126100,12.18,55119,2.8104036194254385
Trempealeau,29098,2013,49143,12655,265,135200,2.09,55121,2.751154793154671
Vernon,30002,2013,45488,13720,1094,138200,7.97,55123,3.038163911361238
Vilas,21401,2013,40833,25145,12847,186000,51.09,55125,4.5551392256263314
Walworth,102619,2013,54020,51496,8119,194900,15.77,55127,3.607922991484635
Washburn,15842,2013,41924,12921,5051,146000,39.09,55129,3.482492128613682
Washington,132186,2013,66159,54878,782,222900,1.42,55131,3.369156123883372
Waukesha,391200,2013,75850,161034,2029,253800,1.26,55133,3.3460777851021755
Waupaca,52300,2013,50822,25355,2441,136300,9.63,55135,2.6819094093109284
Waushara,24483,2013,43070,14846,4001,136800,26.95,55137,3.1762247504063152
Winnebago,167860,2013,51010,73496,1288,141300,1.75,55139,2.7700450891981965
Wood,74469,2013,47685,34117,395,119300,1.16,55141,2.5018349585823634
Adams,20073,2018,43280,17672,7781,125100,44.03,55001,2.8904805914972274
Ashland,15712,2018,43861,9657,2215,110100,22.94,55003,2.5102026857572786
Barron,45252,2018,50903,24001,3336,150200,13.9,55005,2.950710174252991
Bayfield,14992,2018,52910,13306,5679,166300,42.68,55007,3.143073143073143
Brown,259786,2018,59963,108876,679,167000,0.62,55009,2.785050781315144
Buffalo,13167,2018,57134,6736,529,155900,7.85,55011,2.7286729443063673
Burnett,15258,2018,49982,15485,7684,156100,49.62,55013,3.1231243247569127
Calumet,49807,2018,72530,20485,319,173200,1.56,55015,2.3879773886667586
Chippewa,63635,2018,57288,28220,1489,159000,5.28,55017,2.7754503560955173
Clark,34491,2018,51872,15151,1282,121300,8.46,55019,2.3384484885872916
Columbia,56954,2018,65348,26621,1380,187000,5.18,55021,2.861602497398543
Crawford,16288,2018,48853,8982,1632,131100,18.17,55023,2.683560886741858
Dane,529843,2018,70541,229498,1689,252300,0.74,55025,3.576643370522108
Dodge,87776,2018,58870,37669,1015,159100,2.69,55027,2.7025649736708
Door,27439,2018,58287,24717,9030,207100,36.53,55029,3.55310789712972
Douglas,43402,2018,52480,23124,3339,143700,14.44,55031,2.738185975609756
Dunn,44498,2018,56268,18399,476,161800,2.59,55033,2.8755242766759084
Eau Claire,102991,2018,55711,43770,795,161600,1.82,55035,2.9006838864856133
Florence,4337,2018,49128,4787,2433,130800,50.83,55037,2.6624328285295555
Fond du Lac,102315,2018,59373,45035,1031,152900,2.29,55039,2.5752446398194464
Forest,9018,2018,44313,9149,4474,130200,48.9,55041,2.9381896960259968
Grant,51828,2018,52958,22051,974,144000,4.42,55043,2.7191359190301747
Green,36864,2018,62699,15976,252,166900,1.58,55045,2.6619244326065807
Green Lake,18757,2018,53260,10700,1974,142600,18.45,55047,2.67743146826887
Iowa,23620,2018,62785,10864,560,174500,5.15,55049,2.7793262721987735
Iron,5715,2018,40801,6019,2558,113100,42.5,55051,2.7719908825764072
Jackson,20506,2018,52984,9911,1050,133200,10.59,55053,2.5139664804469275
Jefferson,84652,2018,63676,35694,1265,184300,3.54,55055,2.894340096739745
Juneau,26419,2018,51056,15073,3165,124100,21.0,55057,2.430664368536509
Kenosha,168330,2018,60929,70220,2552,169000,3.63,55059,2.773720231745146
Kewaunee,20360,2018,63118,9414,557,157700,5.92,55061,2.498494882600843
La Crosse,117850,2018,55479,50012,429,167100,0.86,55063,3.011950467744552
Lafayette,16735,2018,59629,7265,178,134600,2.45,55065,2.257290915494139
Langlade,19164,2018,46557,12515,3139,113200,25.08,55067,2.431428141847628
Lincoln,27848,2018,56086,17089,3540,139800,20.72,55069,2.4926006490033163
Manitowoc,79407,2018,53489,37428,925,127200,2.47,55071,2.3780590401764847
Marathon,135264,2018,59543,59078,940,152000,1.59,55073,2.5527769847001327
Marinette,40537,2018,47497,30719,10040,117100,32.68,55075,2.4654188685601195
Marquette,15207,2018,49586,9958,2818,150300,28.3,55077,3.031097487193966
Menominee,4579,2018,43872,2390,873,103300,36.53,55078,2.3545769511305616
Milwaukee,954209,2018,48742,418375,1679,153600,0.4,55079,3.151286364941939
Monroe,45502,2018,58178,19848,623,149400,3.14,55081,2.567981023754684
Oconto,37556,2018,57105,24120,6906,155300,28.63,55083,2.7195517030032397
Oneida,35345,2018,54198,30914,13838,167800,44.76,55085,3.096055204989114
Outagamie,184754,2018,63536,76437,405,163800,0.53,55087,2.5780659783429867
Ozaukee,88284,2018,82807,37216,513,273000,1.38,55089,3.2968227323776977
Pepin,7262,2018,53140,3669,306,148700,8.34,55091,2.798268724124953
Pierce,41603,2018,72111,16495,315,197500,1.91,55093,2.7388331877244805
Polk,43349,2018,56932,24553,5156,164700,21.0,55095,2.8929248928546336
Portage,70599,2018,57368,30775,824,163300,2.68,55097,2.8465346534653464
Price,13490,2018,46742,10983,3666,122700,33.38,55099,2.6250481365795215
Racine,195398,2018,59749,82611,1305,169900,1.58,55101,2.8435622353512193
Richland,17539,2018,51335,8943,801,136800,8.96,55103,2.6648485438784455
Rock,161769,2018,55832,68875,707,139800,1.03,55105,2.5039403926063906
Rusk,14183,2018,44302,9143,2070,110400,22.64,55107,2.4919868177508917
St. Croix,87917,2018,81124,35471,480,233600,1.35,55109,2.879542428874316
Sauk,63596,2018,56732,30295,2491,174500,8.22,55111,3.075865472749066
Sawyer,16370,2018,44555,16338,7916,164700,48.45,55113,3.696554819885535
Shawano,41009,2018,54143,20871,2549,136600,12.21,55115,2.522948488262564
Sheboygan,115205,2018,58943,50939,930,153700,1.83,55117,2.6076039563646236
Taylor,20356,2018,51698,10680,1439,131900,13.47,55119,2.5513559518743474
Trempealeau,29438,2018,55865,13043,317,151400,2.43,55121,2.710104716727826
Vernon,30516,2018,50905,14030,1234,152300,8.8,55123,2.9918475591788627
Vilas,21593,2018,44285,25691,13028,206900,50.71,55125,4.672010838884498
Walworth,103013,2018,61106,52177,9193,196400,17.62,55127,3.214086996366969
Washburn,15689,2018,48422,13229,5760,152700,43.54,55129,3.1535252571145347
Washington,134535,2018,74062,56328,500,225800,0.89,55131,3.0487969539034863
Waukesha,398879,2018,84331,164619,2241,272100,1.36,55133,3.2265714861676016
Waupaca,51444,2018,57680,25717,2386,145600,9.28,55135,2.5242718446601944
Waushara,24116,2018,51195,15060,4154,143100,27.58,55137,2.795194843246411
Winnebago,169926,2018,57124,75203,1234,149500,1.64,55139,2.6171136475036763
Wood,73274,2018,53473,34868,522,129900,1.5,55141,2.429263366558824
Adams,20928,2023,59153,16873,6473,184500,38.36,55001,3.1190303112268185
Ashland,16050,2023,57645,9402,1755,160500,18.67,55003,2.7842831121519644
Barron,46741,2023,64619,23966,3104,198300,12.95,55005,3.068756867175289
Bayfield,16410,2023,69609,13285,5198,228100,39.13,55007,3.2768751167234123
Brown,269425,2023,77490,114123,862,245900,0.76,55009,3.1733126855078075
Buffalo,13341,2023,68722,6546,360,197600,5.5,55011,2.8753528709874567
Burnett,16741,2023,61664,15328,7844,215500,51.17,55013,3.494745718733783
Calumet,52626,2023,87700,22163,413,252100,1.86,55015,2.8745724059293045
Chippewa,66558,2023,74009,29017,1327,237700,4.57,55017,3.211771541299031
Clark,34736,2023,66250,14842,1087,163800,7.32,55019,2.4724528301886792
Columbia,58322,2023,82792,26826,1523,258700,5.68,55021,3.124698038457822
Crawford,16064,2023,63496,8705,1366,175100,15.69,55023,2.7576540254504223
Dane,564777,2023,88108,254880,1826,366100,0.72,55025,4.15512779770282
Dodge,88818,2023,73992,38290,1096,218400,2.86,55027,2.9516704508595524
Door,30279,2023,71785,23996,8720,305800,36.34,55029,4.259942885003831
Douglas,44197,2023,72579,22997,2671,190400,11.61,55031,2.6233483514515217
Dunn,45349,2023,71785,18812,345,226200,1.83,55033,3.1510761301107473
Eau Claire,106328,2023,71834,45818,619,242400,1.35,55035,3.374446640866442
Florence,4617,2023,62786,4659,2290,170000,49.15,55037,2.7076099767464084
Fond du Lac,104053,2023,73154,45908,669,209800,1.46,55039,2.8679224649369823
Forest,9261,2023,59727,8696,4292,170000,49.36,55041,2.8462839251929615
Grant,51678,2023,64349,22192,749,186300,3.38,55043,2.895149885779111
Green,37036,2023,80248,16382,187,236900,1.14,55045,2.952098494666534
Green Lake,19165,2023,66917,10731,1875,206300,17.47,55047,3.0829236218001403
Iowa,23832,2023,83372,11007,371,248100,3.37,55049,2.975819219881975
Iron,6164,2023,59058,5572,2172,155200,38.98,55051,2.6279250905889127
Jackson,20971,2023,65508,9693,1055,186900,10.88,55053,2.8530866459058437
Jefferson,85867,2023,80604,36649,995,253800,2.71,55055,3.1487271103171057
Juneau,26695,2023,65150,14639,2980,165200,20.36,55057,2.535686876438987
Kenosha,168413,2023,79412,72897,2130,247800,2.92,55059,3.1204351987105223
Kewaunee,20621,2023,80085,9325,515,208900,5.52,55061,2.608478491602672
La Crosse,120262,2023,70704,53234,598,243200,1.12,55063,3.4396922380629102
Lafayette,16788,2023,72091,7193,116,182100,1.61,55065,2.525974116047773
Langlade,19473,2023,57258,12202,2647,145800,21.69,55067,2.5463690663313425
Lincoln,28403,2023,67726,16233,3096,177700,19.07,55069,2.623807695715087
Manitowoc,81314,2023,68611,37960,890,172900,2.34,55071,2.5200040809782687
Marathon,138067,2023,76185,60296,787,205500,1.31,55073,2.6973813742862767
Marinette,41907,2023,63401,29372,9319,154600,31.73,55075,2.438447343101844
Marquette,15706,2023,63471,9841,2413,201100,24.52,55077,3.1683761087740856
Menominee,4256,2023,59528,2148,701,97000,32.64,55078,1.6294852842359897
Milwaukee,927656,2023,62118,423838,1354,216500,0.32,55079,3.485302166843749
Monroe,46169,2023,68213,19918,670,197200,3.36,55081,2.8909445413630834
Oconto,39329,2023,75886,23998,6293,212000,26.22,55083,2.7936641804812483
Oneida,38007,2023,69621,30746,12478,227500,40.58,55085,3.2676922193016473
Outagamie,191537,2023,82857,79900,536,244100,0.67,55087,2.946039562137176
Ozaukee,92345,2023,96734,39415,497,368900,1.26,55089,3.81355056133314
Pepin,7372,2023,74536,3603,224,196100,6.22,55091,2.6309434367285607
Pierce,42351,2023,88802,17052,263,308600,1.54,55093,3.4751469561496364
Polk,45327,2023,76208,24377,4583,241200,18.8,55095,3.165022044929666
Portage,70375,2023,73284,31496,605,230400,1.92,55097,3.1439331914196824
Price,14077,2023,58720,10799,3586,146000,33.21,55099,2.4863760217983653
Racine,196888,2023,75331,84558,1299,239400,1.54,55101,3.1779745390343948
Richland,17229,2023,62649,8542,788,182800,9.23,55103,2.9178438602371943
Rock,163944,2023,74390,70694,1206,215900,1.71,55105,2.9022718107272483
Rusk,14146,2023,58322,8679,1949,152000,22.46,55107,2.606220637152361
St. Croix,94819,2023,102482,38185,608,349700,1.59,55109,3.412306551394391
Sauk,65759,2023,77648,31091,2184,242400,7.02,55111,3.12178034205646
Sawyer,18243,2023,59055,16114,6871,223300,42.64,55113,3.781220895775125
Shawano,40927,2023,67032,20430,2213,179100,10.83,55115,2.671858216970999
Sheboygan,117783,2023,71898,52549,1025,218400,1.95,55117,3.0376366519235583
Taylor,19972,2023,63142,9453,1041,186500,11.01,55119,2.9536600044344494
Trempealeau,30786,2023,71295,13373,317,203300,2.37,55121,2.851532365523529
Vernon,30915,2023,69556,13939,1102,210600,7.91,55123,3.0277761803438956
Vilas,23410,2023,67132,24783,12727,270700,51.35,55125,4.032354167908002
Walworth,105447,2023,77359,53508,8453,275900,15.8,55127,3.566488708488993
Washburn,16749,2023,61270,12823,4725,207900,36.85,55129,3.393177737881508
Washington,137320,2023,95851,58766,974,316200,1.66,55131,3.2988701213341542
Waukesha,409040,2023,104100,173567,2517,373600,1.45,55133,3.5888568683957733
Waupaca,51714,2023,71189,25620,1979,192800,7.72,55135,2.7082835831378445
Waushara,24752,2023,64968,14804,3634,186000,24.55,55137,2.8629479128186186
Winnebago,171357,2023,72873,76770,917,208600,1.19,55139,2.862514237097416
Wood,74039,2023,66417,34662,627,168100,1.81,55141,2.530978514536941
Menominee,4256,2028,,,,,,55078,1.3900146899770367
Vilas,23410,2028,,,,,,55125,3.821020772742852
Waushara,24752,2028,,,,,,55137,3.0159643665347438
Oneida,38007,2028,,,,,,55085,3.446848132592097
Douglas,44197,2028,,,,,,55031,2.6873080837095604
Marinette,41907,2028,,,,,,55075,2.45947962268856
Bayfield,16410,2028,,,,,,55007,3.439078228058896
Pepin,7372,2028,,,,,,55091,2.6899482739710088
Sawyer,18243,2028,,,,,,55113,3.9755219329058185
Forest,9261,2028,,,,,,55041,2.936812211397676
Burnett,16741,2028,,,,,,55013,3.7584104484759835
Price,14077,2028,,,,,,55099,2.5774690755192555
Kewaunee,20621,2028,,,,,,55061,2.788701540734354
Rusk,14146,2028,,,,,,55107,2.7373060119648187
Iron,6164,2028,,,,,,55051,2.672598358567045
Jefferson,85867,2028,,,,,,55055,3.423391911600922
Milwaukee,927656,2028,,,,,,55079,3.793510730139709
Clark,34736,2028,,,,,,55019,2.6530261566278743
Shawano,40927,2028,,,,,,55115,2.868863070883771
Crawford,16064,2028,,,,,,55023,2.9118442624742005
Polk,45327,2028,,,,,,55095,3.424873816432987
Sauk,65759,2028,,,,,,55111,3.353339141296424
Buffalo,13341,2028,,,,,,55011,3.09012937953274
Washburn,16749,2028,,,,,,55129,3.6206775375349345
Oconto,39329,2028,,,,,,55083,2.9805366396167927
Washington,137320,2028,,,,,,55131,3.631311860510991
Manitowoc,81314,2028,,,,,,55071,2.7177161387353714
Dunn,45349,2028,,,,,,55033,3.453235889201821
Walworth,105447,2028,,,,,,55127,3.90530519521791
Juneau,26695,2028,,,,,,55057,2.7002638528876193
Florence,4617,2028,,,,,,55037,2.8587066841828386
Vernon,30915,2028,,,,,,55123,3.2888734986964665
Lincoln,28403,2028,,,,,,55069,2.8096172139692657
Ashland,16050,2028,,,,,,55003,3.031933499827599
Langlade,19473,2028,,,,,,55067,2.700405086943108
Barron,46741,2028,,,,,,55005,3.3592739835302594
Waupaca,51714,2028,,,,,,55135,2.916327749208833
Racine,196888,2028,,,,,,55101,3.5087568711444868
Kenosha,168413,2028,,,,,,55059,3.4731771416397073
Wood,74039,2028,,,,,,55141,2.7396441670440432
Marathon,138067,2028,,,,,,55073,2.9655825854178466
Jackson,20971,2028,,,,,,55053,3.1496593754053337
Dodge,88818,2028,,,,,,55027,3.252415901069464
Lafayette,16788,2028,,,,,,55065,2.7876009907179737
Marquette,15706,2028,,,,,,55077,3.3990976159930053
Adams,20928,2028,,,,,,55001,3.31282867579614
Green Lake,19165,2028,,,,,,55047,3.4204869003851983
Winnebago,171357,2028,,,,,,55139,3.1768877859756945
Iowa,23832,2028,,,,,,55049,3.350187139411855
Columbia,58322,2028,,,,,,55021,3.45802549591437
Green,37036,2028,,,,,,55045,3.2845074951914133
Trempealeau,30786,2028,,,,,,55121,3.1687765329448445
Taylor,19972,2028,,,,,,55119,3.2736014685122132
Sheboygan,117783,2028,,,,,,55117,3.4307569725226417
Fond du Lac,104053,2028,,,,,,55039,3.20548425617816
Monroe,46169,2028,,,,,,55081,3.2113342564458045
Richland,17229,2028,,,,,,55103,3.2206172911297495
Brown,269425,2028,,,,,,55009,3.6627558888499125
Waukesha,409040,2028,,,,,,55133,4.02626375439006
Pierce,42351,2028,,,,,,55093,4.224403404538397
Rock,163944,2028,,,,,,55105,3.415959854045335
Eau Claire,106328,2028,,,,,,55035,3.981793261590831
Grant,51678,2028,,,,,,55043,3.1920906684439867
Chippewa,66558,2028,,,,,,55017,3.7559034984223407
Portage,70375,2028,,,,,,55097,3.61917864898509
Outagamie,191537,2028,,,,,,55087,3.415244925777952
Door,30279,2028,,,,,,55029,4.995432901931971
Dane,564777,2028,,,,,,55025,4.904381436848972
Calumet,52626,2028,,,,,,55015,3.365676985771692
Ozaukee,92345,2028,,,,,,55089,4.365144062076689
St. Croix,94819,2028,,,,,,55109,4.055546944915079
La Crosse,120262,2028,,,,,,55063,3.977556345945495
